,vault_name,vault_type,vault_apy,vault_total_assets
2021-04-21 12:42:00.398524,crvUSDN,v1,51.20%,"$51,314,186"
2021-04-21 12:42:00.413707,crvCOMP,v1,16.64%,"$36,671,941"
2021-04-21 12:42:00.428692,crvUST,v1,34.17%,"$4,762,841"
2021-04-21 12:42:00.444629,crvLINK,v1,19.07%,"$85,684,763"
2021-04-21 12:42:00.461844,3Crv,v1,13.61%,"$82,414,200"
2021-04-21 12:42:00.477562,crvOBTC,v1,18.67%,"$7,164,115"
2021-04-21 12:42:00.496214,crvSBTC,v1,0.00%,"$16,491,799"
2021-04-21 12:42:00.514324,crvSUSD,v1,26.69%,"$33,146,933"
2021-04-21 12:42:00.534048,USDT,v1,11.64%,"$10,929,273"
2021-04-21 12:42:00.556329,crvHBTC,v1,5.97%,"$585,860"
2021-04-21 12:42:00.576088,crvPBTC,v1,16.50%,"$3,231,861"
2021-04-21 12:42:00.595344,crvEURS,v1,30.48%,"$18,209,444"
2021-04-21 12:42:00.614876,crvTBTC,v1,6.14%,$0
2021-04-21 12:42:00.663346,crvHUSD,v1,22.62%,"$245,407"
2021-04-21 12:42:00.702984,TUSD,v1,12.98%,"$3,300,216"
2021-04-21 12:42:00.728841,crvBBTC,v1,2.93%,"$3,014,683"
2021-04-21 12:42:00.749584,LINK,v1,0.00%,"$296,550"
2021-04-21 12:42:00.771373,DAI,v1,11.74%,"$7,674,938"
2021-04-21 12:42:00.792489,crvUSDP,v1,35.67%,"$60,329,834"
2021-04-21 12:42:00.816159,crvBUSD,v1,23.24%,"$21,316,815"
2021-04-21 12:42:00.839618,crvANKR,v1,11.58%,"$1,923,981"
2021-04-21 12:42:00.864370,aLINK,v1,0.00%,"$16,610,893"
2021-04-21 12:42:00.888361,YFI,v1,0.00%,"$4,675,389"
2021-04-21 12:42:00.911488,crvRENBTC,v1,0.00%,"$16,686"
2021-04-21 12:42:00.936042,mUSD,v1,48.89%,"$183,153"
2021-04-21 12:42:00.961613,ETH,v1,0.00%,"$7,423,311"
2021-04-22 17:59:09.415539,yveCRV - ETH,v1,0.00%,"$14,652,860"
2021-04-22 17:59:09.423595,yveCRV,v1,14.77%,$0
2021-04-22 17:59:09.430054,USDC,v2,16.04%,"$132,762,059"
2021-04-22 17:59:09.436469,crvIB,v2,27.79%,"$148,948,647"
2021-04-22 17:59:09.443339,HEGIC,v2,0.77%,"$605,043"
2021-04-22 17:59:09.449243,crvHBTC,v2,12.29%,"$10,147,764"
2021-04-22 17:59:09.455578,crvRENBTC,v2,1.83%,"$52,569"
2021-04-22 17:59:09.462784,crvSAAVE,v2,52.17%,"$3,585,782"
2021-04-22 17:59:09.469244,DAI,v2,13.15%,"$450,592,496"
2021-04-22 17:59:09.476957,1INCH,v2,3.67%,"$663,457"
2021-04-22 17:59:09.484707,WETH,v2,5.72%,"$173,244,407"
2021-04-22 17:59:09.493089,WBTC,v2,5.44%,"$1,129,694"
2021-04-22 17:59:09.501748,crvSETH,v2,12.76%,"$141,953,682"
2021-04-22 17:59:09.510252,crvSTETH,v2,12.28%,"$214,006,695"
2021-04-22 17:59:09.519552,YFI,v2,2.88%,"$229,430,109"
2021-04-22 17:59:09.531836,crvSBTC,v2,3.96%,"$5,815,222"
2021-04-22 17:59:09.541728,ETH,v2,5.72%,"$173,244,407"
2021-04-22 17:59:09.552658,crvMUSD,v1,25.33%,"$2,106,814"
2021-04-22 17:59:09.564072,yCRV,v1,16.05%,"$45,955,712"
2021-04-22 17:59:09.575216,crvGUSD,v1,18.57%,"$34,339,808"
2021-04-22 17:59:09.586992,crvAAVE,v1,27.49%,"$21,897,403"
2021-04-22 17:59:09.599139,USDC,v1,13.56%,"$11,171,855"
2021-04-22 17:59:09.613769,crvSAAVE,v1,0.00%,"$2,842,373"
2021-04-22 17:59:09.626917,crvDUSD,v1,37.68%,"$3,221,658"
2021-04-22 17:59:09.639922,WETH,v1,0.00%,"$8,082,390"
2021-04-22 17:59:09.653645,crvUSDN,v1,35.38%,"$52,099,727"
2021-04-22 17:59:09.669878,crvCOMP,v1,19.66%,"$36,657,545"
2021-04-22 17:59:09.685614,crvUST,v1,36.67%,"$4,596,445"
2021-04-22 17:59:09.709448,crvLINK,v1,12.29%,"$90,177,453"
2021-04-22 17:59:09.725941,3Crv,v1,13.98%,"$83,279,088"
