,vault_name,vault_apy,vault_total_assets
2021-04-27 17:58:08.284450, DAI-BSGS,Inactive ,11.19K
2021-04-27 17:58:08.327822, BAC,Inactive ,791.57
2021-04-27 17:58:08.362443, ESD,Inactive ,62.53K
2021-04-27 17:58:08.393943, DSD,Inactive ,2.88K
2021-04-27 17:58:08.422717, FARM/USDC,Inactive,81.79K
2021-04-28 17:55:29.051292, WETH,4.02%  ,18.13M
2021-04-28 17:55:29.096244, ETH-PERP,13.73%  ,2.64K
2021-04-28 17:55:29.123512, ETH-MVI,35.51%  ,1.02M
2021-04-28 17:55:29.153053, KXUSD-DAI,170.37%  ,190.46K
2021-04-28 17:55:29.183227, FARM,39.54%,65.59M
2021-04-28 17:55:29.229756, USDC,14.17%  ,45.77M
2021-04-28 17:55:29.250235, USDT,20.53%  ,3.89M
2021-04-28 17:55:29.275264, DAI,18.76%  ,13.93M
2021-04-28 17:55:29.304353, CRV:HUSD,14.27%  ,1.79M
2021-04-28 17:55:29.337093, YCRV,14.56%  ,1.78M
2021-04-28 17:55:29.364582, 3CRV,8.72%  ,7.85M
2021-04-28 17:55:29.388119, CRV:COMPOUND,23.33%  ,1.31M
2021-04-28 17:55:29.412138, CRV:BUSD,13.74%  ,4.92M
2021-04-28 17:55:29.435786, CRV:USDN,55.38%  ,11.90M
2021-04-28 17:55:29.459899, CRV:EURS,52.79%  ,642.92K
2021-04-28 17:55:29.483251, CRV:GUSD,22.91%  ,257.53K
2021-04-28 17:55:29.507328, CRV:UST,26.32%  ,293.34K
2021-04-28 17:55:29.533296, CRV:USDP,33.25%  ,531.00K
2021-04-28 17:55:29.587815, SUSHI,9.93%  ,12.60M
2021-04-28 17:55:29.612006, ETH-DAI,50.51%  ,17.22M
2021-04-28 17:55:29.637989, ETH-USDC,50.09%  ,7.06M
2021-04-28 17:55:29.661231, ETH-USDT,52.15%  ,6.06M
2021-04-28 17:55:29.684740, ETH-WBTC,26.37%  ,12.48M
2021-04-28 17:55:29.728993, CRV:STETH,12.68%  ,47.24M
2021-04-28 17:55:29.770866, CRV:HBTC,5.61%  ,12.74M
2021-04-28 17:55:29.798043, CRV:OBTC,13.98%  ,10.14M
2021-04-28 17:55:29.819118, CRV:TBTC,2.97%  ,679.39K
2021-04-28 17:55:29.839933, CRV:RENWBTC,1.92%  ,120.02M
2021-04-28 17:55:29.859874, WBTC,1.39%  ,1.86M
2021-04-28 17:55:29.899468, MUSE-ETH,243.25%  ,684.00K
2021-04-28 17:55:29.921967, DUDES20-ETH,497.49%  ,135.90K
2021-04-28 17:55:29.950460, MASK20-ETH,272.94%  ,170.55K
2021-04-28 17:55:29.979437, ROPE20-ETH,484.57%  ,148.20K
2021-04-28 17:55:30.006784, MCAT20-ETH,304.26%  ,151.02K
2021-04-28 17:55:30.038303, MEME20-ETH,687.91%  ,76.21K
2021-04-28 17:55:30.067409, GPUNKS20-ETH,564.91%  ,62.26K
2021-04-28 17:55:30.129925, 1INCH-ETH,71.47%  ,1.08M
2021-04-28 17:55:30.152313, 1INCH-USDC,108.32%  ,1.63M
2021-04-28 17:55:30.172845, 1INCH-WBTC,82.13%  ,1.46M
2021-04-28 17:55:30.210151, ETH-DAI,50.51%  ,250.76K
2021-04-28 17:55:30.234804, ETH-USDC,50.09%  ,390.05K
2021-04-28 17:55:30.268385, ETH-USDT,52.15%  ,343.99K
2021-04-28 17:55:30.302165, ETH-WBTC,26.37%  ,10.61M
2021-04-28 17:55:30.349516, ETH-SUSHI,30.09%  ,10.85M
2021-04-28 17:55:30.369828, ETH-DAI,36.12%  ,16.20M
2021-04-28 17:55:30.389734, ETH-USDC,36.42%  ,11.55M
2021-04-28 17:55:30.409482, ETH-USDT,36.62%  ,32.35M
2021-04-28 17:55:30.430599, ETH-WBTC,13.82%  ,15.74M
2021-04-28 17:55:30.457747, ETH-UST,127.08%  ,410.46K
2021-04-28 17:55:30.495802, ETH-DPI,21.62%  ,3.46M
2021-04-28 17:55:30.515745, WBTC-KBTC,67.08%  ,1.02M
2021-04-28 17:55:30.535517, WBTC-KLONX,92.78%  ,107.46K
2021-04-28 17:55:30.555256, FARM/ETH,34.75%,13.88M
2021-04-28 17:55:30.574895, FARM/GRAIN,108.57%,126.42K
2021-04-28 17:55:30.613170, DAI-BAC,7.69%  ,1.29M
2021-04-28 17:55:30.632915, DAI-BASv2,39.57%  ,195.23K
2021-04-28 17:55:30.674068, MAAPL-UST,87.30%  ,486.58K
2021-04-28 17:55:30.694048, MAMZN-UST,89.53%  ,315.55K
2021-04-28 17:55:30.713691, MGOOGL-UST,90.92%  ,331.13K
2021-04-28 17:55:30.733536, MTSLA-UST,76.52%  ,399.40K
2021-04-28 17:55:30.753296, MNFLX-UST,116.39%  ,523.29K
2021-04-28 17:55:30.773335, MTWTR-UST,112.25%  ,408.51K
2021-04-28 17:55:30.810169, CRV:LINK,12.36%  ,2.30M
2021-04-28 17:55:30.848227, TUSD,Inactive ,24.62K
2021-04-28 17:55:30.869203, CRV:AAVE,Inactive ,12.41K
2021-04-28 17:55:30.888845, RENBTC,Inactive ,137.21K
2021-04-28 17:55:30.908063, MIC-USDT,Inactive ,280.99K
2021-04-28 17:55:30.929041, MIS-USDT,Inactive ,74.86K
2021-04-28 17:55:30.951496, WBTC-TBTC,Inactive ,1.11K
2021-04-28 17:55:30.971917, ETH-DAI,Inactive ,17.08K
2021-04-28 17:55:30.991649, ETH-USDC,Inactive ,29.36K
2021-04-28 17:55:31.011183, ETH-USDT,Inactive ,9.38K
2021-04-28 17:55:31.030894, ETH-WBTC,Inactive ,37.73K
2021-04-28 17:55:31.051436, DAI-BSG,Inactive ,11.19K
2021-04-28 17:55:31.071007, DAI-BSGS,Inactive ,11.17K
2021-04-28 17:55:31.090819, BAC,Inactive ,859.15
2021-04-28 17:55:31.110434, ESD,Inactive ,41.00K
2021-04-28 17:55:31.130165, DSD,Inactive ,2.64K
2021-04-28 17:55:31.151487, FARM/USDC,Inactive,78.86K
2021-04-29 19:10:58.523889, WETH,3.95%  ,18.18M
2021-04-29 19:10:58.576999, ETH-PERP,10.14%  ,2.60K
2021-04-29 19:10:58.611830, ETH-MVI,35.16%  ,1.00M
2021-04-29 19:10:58.655506, KXUSD-DAI,142.04%  ,193.16K
2021-04-29 19:10:58.686272, FARM,38.39%,64.69M
2021-04-29 19:10:58.757810, USDC,14.00%  ,45.53M
2021-04-29 19:10:58.788055, USDT,21.28%  ,3.08M
2021-04-29 19:10:58.820234, DAI,18.66%  ,13.97M
2021-04-29 19:10:58.853881, CRV:HUSD,13.86%  ,1.79M
2021-04-29 19:10:58.893949, YCRV,13.94%  ,1.78M
2021-04-29 19:10:58.924189, 3CRV,8.58%  ,7.88M
2021-04-29 19:10:58.966225, CRV:COMPOUND,23.35%  ,1.31M
2021-04-29 19:10:59.003739, CRV:BUSD,12.80%  ,4.82M
2021-04-29 19:10:59.043992, CRV:USDN,32.20%  ,11.51M
2021-04-29 19:10:59.107667, CRV:EURS,61.44%  ,583.77K
2021-04-29 19:10:59.138352, CRV:GUSD,16.95%  ,229.54K
2021-04-29 19:10:59.168048, CRV:UST,24.83%  ,290.43K
2021-04-29 19:10:59.200859, CRV:USDP,29.41%  ,523.29K
2021-04-29 19:10:59.267880, SUSHI,8.79%  ,12.32M
2021-04-29 19:10:59.299928, ETH-DAI,53.72%  ,17.24M
2021-04-29 19:10:59.332079, ETH-USDC,50.76%  ,7.15M
2021-04-29 19:10:59.364124, ETH-USDT,52.30%  ,5.93M
2021-04-29 19:10:59.386002, ETH-WBTC,30.16%  ,12.15M
2021-04-29 19:10:59.436815, CRV:STETH,12.98%  ,47.23M
2021-04-29 19:10:59.496852, CRV:HBTC,5.93%  ,12.35M
2021-04-29 19:10:59.527721, CRV:OBTC,14.18%  ,9.38M
2021-04-29 19:10:59.558002, CRV:TBTC,2.88%  ,657.05K
2021-04-29 19:10:59.596404, CRV:RENWBTC,3.29%  ,115.07M
2021-04-29 19:10:59.630414, WBTC,1.40%  ,1.78M
2021-04-29 19:10:59.688933, MUSE-ETH,250.24%  ,577.96K
2021-04-29 19:10:59.731167, DUDES20-ETH,515.71%  ,133.43K
2021-04-29 19:10:59.759045, MASK20-ETH,273.76%  ,168.80K
2021-04-29 19:10:59.791772, ROPE20-ETH,489.94%  ,148.37K
2021-04-29 19:10:59.813632, MCAT20-ETH,301.63%  ,149.06K
2021-04-29 19:10:59.844318, MEME20-ETH,689.44%  ,77.32K
2021-04-29 19:10:59.886342, GPUNKS20-ETH,613.53%  ,56.67K
2021-04-29 19:10:59.954237, 1INCH-ETH,78.45%  ,1.06M
2021-04-29 19:10:59.985244, 1INCH-USDC,110.94%  ,1.61M
2021-04-29 19:11:00.015969, 1INCH-WBTC,85.41%  ,1.41M
2021-04-29 19:11:00.076725, ETH-DAI,53.72%  ,251.10K
2021-04-29 19:11:00.114443, ETH-USDC,50.76%  ,390.79K
2021-04-29 19:11:00.158479, ETH-USDT,52.30%  ,343.15K
2021-04-29 19:11:00.180792, ETH-WBTC,30.16%  ,10.45M
2021-04-29 19:11:00.228217, ETH-SUSHI,26.87%  ,10.75M
2021-04-29 19:11:00.262973, ETH-DAI,40.49%  ,16.23M
2021-04-29 19:11:00.293990, ETH-USDC,38.38%  ,11.58M
2021-04-29 19:11:00.326850, ETH-USDT,38.02%  ,32.29M
2021-04-29 19:11:00.352875, ETH-WBTC,18.52%  ,15.51M
2021-04-29 19:11:00.388821, ETH-UST,75.56%  ,428.16K
2021-04-29 19:11:00.460773, ETH-DPI,19.40%  ,3.40M
2021-04-29 19:11:00.489567, WBTC-KBTC,58.52%  ,973.66K
2021-04-29 19:11:00.522839, WBTC-KLONX,88.48%  ,97.83K
2021-04-29 19:11:00.550668, FARM/ETH,27.98%,13.65M
2021-04-29 19:11:00.583329, FARM/GRAIN,99.38%,134.42K
2021-04-29 19:11:00.645419, DAI-BAC,8.94%  ,1.30M
2021-04-29 19:11:00.672834, DAI-BASv2,39.40%  ,165.61K
2021-04-29 19:11:00.721678, MAAPL-UST,81.34%  ,481.75K
2021-04-29 19:11:00.751831, MAMZN-UST,85.97%  ,314.42K
2021-04-29 19:11:00.777878, MGOOGL-UST,83.93%  ,329.18K
2021-04-29 19:11:00.803261, MTSLA-UST,75.08%  ,389.43K
2021-04-29 19:11:00.840233, MNFLX-UST,117.38%  ,357.02K
2021-04-29 19:11:00.872783, MTWTR-UST,114.67%  ,437.57K
2021-04-29 19:11:00.933141, CRV:LINK,12.21%  ,2.33M
2021-04-29 19:11:00.991072, TUSD,Inactive ,24.54K
2021-04-29 19:11:01.026365, CRV:AAVE,Inactive ,12.41K
2021-04-29 19:11:01.063033, RENBTC,Inactive ,132.51K
2021-04-29 19:11:01.095134, MIC-USDT,Inactive ,278.76K
2021-04-29 19:11:01.122269, MIS-USDT,Inactive ,83.52K
2021-04-29 19:11:01.154977, WBTC-TBTC,Inactive ,1.07K
2021-04-29 19:11:01.183950, ETH-DAI,Inactive ,17.11K
2021-04-29 19:11:01.213492, ETH-USDC,Inactive ,29.43K
2021-04-29 19:11:01.248965, ETH-USDT,Inactive ,9.36K
2021-04-29 19:11:01.289992, ETH-WBTC,Inactive ,37.17K
2021-04-29 19:11:01.330681, DAI-BSG,Inactive ,10.89K
2021-04-29 19:11:01.372531, DAI-BSGS,Inactive ,10.74K
2021-04-29 19:11:01.409915, BAC,Inactive ,994.19
2021-04-29 19:11:01.461466, ESD,Inactive ,37.72K
2021-04-29 19:11:01.532581, DSD,Inactive ,3.03K
2021-04-29 19:11:01.579251, FARM/USDC,Inactive,78.25K
2021-05-01 18:05:01.035787, WETH,4.02%  ,18.36M
2021-05-01 18:05:01.067367, ETH-PERP,10.00%  ,2.81K
2021-05-01 18:05:01.096710, ETH-MVI,31.37%  ,1.04M
2021-05-01 18:05:01.122641, KXUSD-DAI,133.52%  ,214.84K
2021-05-01 18:05:01.142760, FARM,40.52%,66.67M
2021-05-01 18:05:01.184430, USDC,15.32%  ,45.07M
2021-05-01 18:05:01.204183, USDT,22.75%  ,3.71M
2021-05-01 18:05:01.223965, DAI,18.44%  ,13.98M
2021-05-01 18:05:01.243807, CRV:HUSD,14.76%  ,1.79M
2021-05-01 18:05:01.263623, YCRV,14.81%  ,1.78M
2021-05-01 18:05:01.285903, 3CRV,8.67%  ,7.98M
2021-05-01 18:05:01.312705, CRV:COMPOUND,21.53%  ,1.63M
2021-05-01 18:05:01.337500, CRV:BUSD,16.60%  ,4.32M
2021-05-01 18:05:01.357522, CRV:USDN,29.46%  ,11.42M
2021-05-01 18:05:01.377394, CRV:EURS,59.68%  ,584.82K
2021-05-01 18:05:01.397398, CRV:GUSD,18.81%  ,217.21K
2021-05-01 18:05:01.417271, CRV:UST,26.54%  ,290.99K
2021-05-01 18:05:01.438065, CRV:USDP,30.43%  ,532.10K
2021-05-01 18:05:01.480675, SUSHI,7.10%  ,13.04M
2021-05-01 18:05:01.503931, ETH-DAI,47.43%  ,17.77M
2021-05-01 18:05:01.534612, ETH-USDC,42.24%  ,7.32M
2021-05-01 18:05:01.560889, ETH-USDT,44.19%  ,6.13M
2021-05-01 18:05:01.582946, ETH-WBTC,24.72%  ,13.03M
2021-05-01 18:05:01.626645, CRV:STETH,16.34%  ,50.00M
2021-05-01 18:05:01.669256, CRV:HBTC,5.78%  ,13.41M
2021-05-01 18:05:01.690265, CRV:OBTC,13.93%  ,10.19M
2021-05-01 18:05:01.711519, CRV:TBTC,3.44%  ,713.38K
2021-05-01 18:05:01.736090, CRV:RENWBTC,2.58%  ,98.05M
2021-05-01 18:05:01.760640, WBTC,1.34%  ,1.93M
2021-05-01 18:05:01.810517, MUSE-ETH,256.50%  ,622.27K
2021-05-01 18:05:01.831547, DUDES20-ETH,544.67%  ,133.48K
2021-05-01 18:05:01.861304, MASK20-ETH,289.02%  ,167.15K
2021-05-01 18:05:01.881439, ROPE20-ETH,499.89%  ,162.44K
2021-05-01 18:05:01.902366, MCAT20-ETH,317.83%  ,146.38K
2021-05-01 18:05:01.922510, MEME20-ETH,604.70%  ,95.26K
2021-05-01 18:05:01.942616, GPUNKS20-ETH,629.71%  ,59.33K
2021-05-01 18:05:01.989097, 1INCH-ETH,72.56%  ,1.08M
2021-05-01 18:05:02.021127, 1INCH-USDC,101.18%  ,1.62M
2021-05-01 18:05:02.062910, 1INCH-WBTC,78.54%  ,1.35M
2021-05-01 18:05:02.127324, ETH-DAI,47.43%  ,258.52K
2021-05-01 18:05:02.154067, ETH-USDC,42.24%  ,401.85K
2021-05-01 18:05:02.229820, ETH-USDT,44.19%  ,354.58K
2021-05-01 18:05:02.321274, ETH-WBTC,24.72%  ,11.20M
2021-05-01 18:05:02.382211, ETH-SUSHI,24.94%  ,10.71M
2021-05-01 18:05:02.408513, ETH-DAI,35.74%  ,16.73M
2021-05-01 18:05:02.432375, ETH-USDC,31.50%  ,11.92M
2021-05-01 18:05:02.460914, ETH-USDT,31.62%  ,33.40M
2021-05-01 18:05:02.487744, ETH-WBTC,14.94%  ,16.63M
2021-05-01 18:05:02.512138, ETH-UST,55.38%  ,442.44K
2021-05-01 18:05:02.565731, ETH-DPI,16.40%  ,3.63M
2021-05-01 18:05:02.599095, WBTC-KBTC,74.12%  ,849.03K
2021-05-01 18:05:02.623945, WBTC-KLONX,91.26%  ,100.59K
2021-05-01 18:05:02.649150, FARM/ETH,23.24%,14.20M
2021-05-01 18:05:02.681818, FARM/GRAIN,101.39%,131.84K
2021-05-01 18:05:02.728370, DAI-BAC,6.78%  ,1.28M
2021-05-01 18:05:02.755942, DAI-BASv2,45.66%  ,157.43K
2021-05-01 18:05:02.805887, MAAPL-UST,82.85%  ,481.83K
2021-05-01 18:05:02.828662, MAMZN-UST,87.44%  ,317.41K
2021-05-01 18:05:02.849636, MGOOGL-UST,87.60%  ,349.45K
2021-05-01 18:05:02.870443, MTSLA-UST,89.11%  ,252.16K
2021-05-01 18:05:02.892781, MNFLX-UST,123.09%  ,360.23K
2021-05-01 18:05:02.915160, MTWTR-UST,125.80%  ,403.49K
2021-05-01 18:05:02.972239, CRV:LINK,11.87%  ,2.60M
2021-05-01 18:05:03.019880, TUSD,Inactive ,24.62K
2021-05-01 18:05:03.041304, CRV:AAVE,Inactive ,12.41K
2021-05-01 18:05:03.063282, RENBTC,Inactive ,144.10K
2021-05-01 18:05:03.084072, MIC-USDT,Inactive ,281.69K
2021-05-01 18:05:03.103882, MIS-USDT,Inactive ,90.77K
2021-05-01 18:05:03.123778, WBTC-TBTC,Inactive ,1.18K
2021-05-01 18:05:03.143790, ETH-DAI,Inactive ,17.63K
2021-05-01 18:05:03.164800, ETH-USDC,Inactive ,30.29K
2021-05-01 18:05:03.190845, ETH-USDT,Inactive ,9.69K
2021-05-01 18:05:03.213571, ETH-WBTC,Inactive ,39.84K
2021-05-01 18:05:03.234188, DAI-BSG,Inactive ,10.89K
2021-05-01 18:05:03.254657, DAI-BSGS,Inactive ,10.55K
2021-05-01 18:05:03.279773, BAC,Inactive ,963.70
2021-05-01 18:05:03.303791, ESD,Inactive ,36.37K
2021-05-01 18:05:03.328259, DSD,Inactive ,3.32K
2021-05-01 18:05:03.352811, FARM/USDC,Inactive,78.76K
2021-05-02 16:33:01.911502, WETH,3.60%  ,18.52M
2021-05-02 16:33:01.965334, ETH-PERP,6.19%  ,2.84K
2021-05-02 16:33:02.005824, ETH-MVI,33.02%  ,1.06M
2021-05-02 16:33:02.032148, KXUSD-DAI,141.08%  ,250.17K
2021-05-02 16:33:02.070196, FARM,41.93%,57.47M
2021-05-02 16:33:02.142725, USDC,15.10%  ,45.20M
2021-05-02 16:33:02.177420, USDT,20.48%  ,3.75M
2021-05-02 16:33:02.203503, DAI,17.42%  ,13.99M
2021-05-02 16:33:02.230811, CRV:HUSD,14.74%  ,1.82M
2021-05-02 16:33:02.264003, YCRV,14.08%  ,1.78M
2021-05-02 16:33:02.298288, 3CRV,8.40%  ,7.98M
2021-05-02 16:33:02.340129, CRV:COMPOUND,20.61%  ,1.63M
2021-05-02 16:33:02.377857, CRV:BUSD,16.11%  ,4.31M
2021-05-02 16:33:02.408181, CRV:USDN,29.17%  ,11.71M
2021-05-02 16:33:02.442406, CRV:EURS,58.75%  ,568.66K
2021-05-02 16:33:02.472391, CRV:GUSD,17.69%  ,216.82K
2021-05-02 16:33:02.511434, CRV:UST,25.65%  ,290.99K
2021-05-02 16:33:02.549029, CRV:USDP,29.84%  ,520.21K
2021-05-02 16:33:02.623605, SUSHI,8.15%  ,12.59M
2021-05-02 16:33:02.658300, ETH-DAI,48.98%  ,17.87M
2021-05-02 16:33:02.693758, ETH-USDC,42.42%  ,7.37M
2021-05-02 16:33:02.732179, ETH-USDT,48.52%  ,6.12M
2021-05-02 16:33:02.762798, ETH-WBTC,24.43%  ,13.02M
2021-05-02 16:33:02.868893, CRV:STETH,14.04%  ,50.68M
2021-05-02 16:33:02.975493, CRV:HBTC,5.96%  ,13.15M
2021-05-02 16:33:03.033957, CRV:OBTC,13.72%  ,9.89M
2021-05-02 16:33:03.082418, CRV:TBTC,3.61%  ,703.72K
2021-05-02 16:33:03.126614, CRV:RENWBTC,2.61%  ,96.72M
2021-05-02 16:33:03.178021, WBTC,1.20%  ,1.92M
2021-05-02 16:33:03.282764, MUSE-ETH,252.30%  ,632.78K
2021-05-02 16:33:03.316850, DUDES20-ETH,1069.73%  ,77.89K
2021-05-02 16:33:03.352035, MASK20-ETH,349.99%  ,104.15K
2021-05-02 16:33:03.473848, ROPE20-ETH,1037.00%  ,90.64K
2021-05-02 16:33:03.522791, MCAT20-ETH,322.81%  ,141.60K
2021-05-02 16:33:03.572648, MEME20-ETH,632.92%  ,95.09K
2021-05-02 16:33:03.630829, GPUNKS20-ETH,624.78%  ,59.85K
2021-05-02 16:33:03.692672, 1INCH-ETH,68.54%  ,1.08M
2021-05-02 16:33:03.716345, 1INCH-USDC,95.96%  ,1.62M
2021-05-02 16:33:03.746728, 1INCH-WBTC,74.62%  ,1.33M
2021-05-02 16:33:03.798916, ETH-DAI,48.98%  ,260.06K
2021-05-02 16:33:03.828488, ETH-USDC,42.42%  ,404.48K
2021-05-02 16:33:03.864663, ETH-USDT,48.52%  ,356.72K
2021-05-02 16:33:03.887605, ETH-WBTC,24.43%  ,11.19M
2021-05-02 16:33:03.932632, ETH-SUSHI,24.24%  ,10.56M
2021-05-02 16:33:03.960076, ETH-DAI,36.18%  ,16.85M
2021-05-02 16:33:03.992926, ETH-USDC,30.54%  ,12.00M
2021-05-02 16:33:04.020880, ETH-USDT,34.60%  ,33.76M
2021-05-02 16:33:04.051448, ETH-WBTC,13.62%  ,16.62M
2021-05-02 16:33:04.078195, ETH-UST,62.83%  ,445.19K
2021-05-02 16:33:04.123734, ETH-DPI,17.68%  ,3.65M
2021-05-02 16:33:04.147648, WBTC-KBTC,127.67%  ,843.97K
2021-05-02 16:33:04.172193, WBTC-KLONX,102.48%  ,112.14K
2021-05-02 16:33:04.194290, FARM/ETH,22.19%,13.38M
2021-05-02 16:33:04.217700, FARM/GRAIN,93.57%,123.69K
2021-05-02 16:33:04.259575, DAI-BAC,11.29%  ,1.14M
2021-05-02 16:33:04.283237, DAI-BASv2,58.12%  ,104.18K
2021-05-02 16:33:04.326206, MAAPL-UST,80.94%  ,480.52K
2021-05-02 16:33:04.348325, MAMZN-UST,83.70%  ,317.20K
2021-05-02 16:33:04.374573, MGOOGL-UST,84.56%  ,349.14K
2021-05-02 16:33:04.397221, MTSLA-UST,80.28%  ,257.71K
2021-05-02 16:33:04.419099, MNFLX-UST,119.70%  ,375.35K
2021-05-02 16:33:04.441950, MTWTR-UST,119.89%  ,403.73K
2021-05-02 16:33:04.490452, CRV:LINK,11.30%  ,2.68M
2021-05-02 16:33:04.564862, TUSD,Inactive ,24.62K
2021-05-02 16:33:04.589708, CRV:AAVE,Inactive ,12.41K
2021-05-02 16:33:04.613350, RENBTC,Inactive ,142.18K
2021-05-02 16:33:04.634994, MIC-USDT,Inactive ,285.49K
2021-05-02 16:33:04.656658, MIS-USDT,Inactive ,86.50K
2021-05-02 16:33:04.680960, WBTC-TBTC,Inactive ,1.17K
2021-05-02 16:33:04.703430, ETH-DAI,Inactive ,17.74K
2021-05-02 16:33:04.726052, ETH-USDC,Inactive ,30.50K
2021-05-02 16:33:04.748334, ETH-USDT,Inactive ,9.75K
2021-05-02 16:33:04.769418, ETH-WBTC,Inactive ,39.81K
2021-05-02 16:33:04.791309, DAI-BSG,Inactive ,10.89K
2021-05-02 16:33:04.815515, DAI-BSGS,Inactive ,9.61K
2021-05-02 16:33:04.838768, BAC,Inactive ,834.60
2021-05-02 16:33:04.861776, ESD,Inactive ,29.39K
2021-05-02 16:33:04.883703, DSD,Inactive ,3.27K
2021-05-02 16:33:04.905799, FARM/USDC,Inactive,73.86K
2021-05-03 16:35:10.051785, WETH,3.11%  ,19.65M
2021-05-03 16:35:10.077706, ETH-PERP,4.94%  ,329.37
2021-05-03 16:35:10.098280, ETH-MVI,30.18%  ,1.12M
2021-05-03 16:35:10.123144, KXUSD-DAI,118.39%  ,241.31K
2021-05-03 16:35:10.143152, FARM,42.60%,52.09M
2021-05-03 16:35:10.183456, USDC,17.11%  ,43.95M
2021-05-03 16:35:10.205086, USDT,21.55%  ,3.80M
2021-05-03 16:35:10.227922, DAI,17.04%  ,13.71M
2021-05-03 16:35:10.249756, CRV:HUSD,15.84%  ,1.82M
2021-05-03 16:35:10.286352, YCRV,13.94%  ,1.78M
2021-05-03 16:35:10.309366, 3CRV,8.23%  ,7.98M
2021-05-03 16:35:10.331365, CRV:COMPOUND,20.24%  ,1.63M
2021-05-03 16:35:10.356451, CRV:BUSD,20.54%  ,4.31M
2021-05-03 16:35:10.380465, CRV:USDN,28.15%  ,11.35M
2021-05-03 16:35:10.403317, CRV:EURS,52.10%  ,1.67M
2021-05-03 16:35:10.423798, CRV:GUSD,36.77%  ,83.07K
2021-05-03 16:35:10.445235, CRV:UST,25.31%  ,290.99K
2021-05-03 16:35:10.469279, CRV:USDP,28.13%  ,529.78K
2021-05-03 16:35:10.522939, SUSHI,10.57%  ,4.93M
2021-05-03 16:35:10.544768, ETH-DAI,46.02%  ,18.52M
2021-05-03 16:35:10.566270, ETH-USDC,44.30%  ,7.53M
2021-05-03 16:35:10.589219, ETH-USDT,45.99%  ,6.36M
2021-05-03 16:35:10.613460, ETH-WBTC,26.43%  ,13.58M
2021-05-03 16:35:10.655462, CRV:STETH,14.74%  ,53.71M
2021-05-03 16:35:10.694362, CRV:HBTC,5.63%  ,13.33M
2021-05-03 16:35:10.715177, CRV:OBTC,13.48%  ,10.05M
2021-05-03 16:35:10.737244, CRV:TBTC,3.51%  ,715.64K
2021-05-03 16:35:10.758025, CRV:RENWBTC,2.19%  ,97.52M
2021-05-03 16:35:10.790468, WBTC,1.11%  ,1.95M
2021-05-03 16:35:10.878549, MUSE-ETH,244.10%  ,643.23K
2021-05-03 16:35:10.900263, DUDES20-ETH,1043.87%  ,86.24K
2021-05-03 16:35:10.921461, MASK20-ETH,369.23%  ,104.95K
2021-05-03 16:35:10.943617, ROPE20-ETH,1673.80%  ,95.02K
2021-05-03 16:35:10.972553, MCAT20-ETH,320.17%  ,146.64K
2021-05-03 16:35:11.007117, MEME20-ETH,669.90%  ,95.72K
2021-05-03 16:35:11.047425, GPUNKS20-ETH,583.31%  ,64.87K
2021-05-03 16:35:11.089084, 1INCH-ETH,65.18%  ,1.16M
2021-05-03 16:35:11.113514, 1INCH-USDC,91.56%  ,1.70M
2021-05-03 16:35:11.135687, 1INCH-WBTC,78.70%  ,1.03M
2021-05-03 16:35:11.201131, ETH-DAI,46.02%  ,266.29K
2021-05-03 16:35:11.256848, ETH-USDC,44.30%  ,414.78K
2021-05-03 16:35:11.286769, ETH-USDT,45.99%  ,370.81K
2021-05-03 16:35:11.309263, ETH-WBTC,26.43%  ,11.73M
2021-05-03 16:35:11.348291, ETH-SUSHI,26.25%  ,11.03M
2021-05-03 16:35:11.369368, ETH-DAI,31.53%  ,17.52M
2021-05-03 16:35:11.395600, ETH-USDC,30.34%  ,12.45M
2021-05-03 16:35:11.430936, ETH-USDT,30.57%  ,35.11M
2021-05-03 16:35:11.455721, ETH-WBTC,13.48%  ,17.43M
2021-05-03 16:35:11.477197, ETH-UST,56.64%  ,462.91K
2021-05-03 16:35:11.518544, ETH-DPI,16.53%  ,3.86M
2021-05-03 16:35:11.543692, WBTC-KBTC,105.44%  ,872.12K
2021-05-03 16:35:11.564263, WBTC-KLONX,108.16%  ,98.23K
2021-05-03 16:35:11.587204, FARM/ETH,53.75%,13.30M
2021-05-03 16:35:11.608251, FARM/GRAIN,93.31%,114.22K
2021-05-03 16:35:11.654091, DAI-BAC,13.64%  ,1.02M
2021-05-03 16:35:11.674943, DAI-BASv2,61.84%  ,94.26K
2021-05-03 16:35:11.717265, MAAPL-UST,81.21%  ,476.35K
2021-05-03 16:35:11.738034, MAMZN-UST,84.91%  ,312.45K
2021-05-03 16:35:11.758696, MGOOGL-UST,87.24%  ,344.90K
2021-05-03 16:35:11.784118, MTSLA-UST,78.90%  ,262.01K
2021-05-03 16:35:11.813403, MNFLX-UST,121.06%  ,373.60K
2021-05-03 16:35:11.840785, MTWTR-UST,122.26%  ,411.28K
2021-05-03 16:35:11.879318, CRV:LINK,10.78%  ,2.71M
2021-05-03 16:35:11.920145, TUSD,Inactive ,24.17K
2021-05-03 16:35:11.943087, CRV:AAVE,Inactive ,12.41K
2021-05-03 16:35:11.973592, RENBTC,Inactive ,145.17K
2021-05-03 16:35:11.996619, MIC-USDT,Inactive ,281.13K
2021-05-03 16:35:12.017148, MIS-USDT,Inactive ,87.41K
2021-05-03 16:35:12.039307, WBTC-TBTC,Inactive ,1.17K
